类别,precision,recall,f1-score,support,accuracy,AP,AUC
未知,1.0,1.0,1.0,310.0,1.0,1.0,1.0
浙江省,0.959866220735786,0.9795221843003412,0.9695945945945946,293.0,0.9795221843003412,0.9973464394326614,0.9994689957409493
非浙江,0.9951338199513382,0.9903147699757868,0.9927184466019418,1239.0,0.9903147699757868,0.9998358065055952,0.9996613649535482
macro avg,0.9850000135623748,0.989945651425376,0.9874376803988456,1842.0,0.989945651425376,0.9990607486460856,0.9997101202314992
weighted avg,0.9903428912026564,0.990228013029316,0.9902656740260708,1842.0,0.990228013029316,0.9994674652628678,0.9996877562049643
