类别,precision,recall,f1-score,support,accuracy,AP,AUC
云南省,0.9761904761904762,0.9695945945945946,0.9728813559322034,296.0,0.9695945945945946,0.9953188007995144,0.999038495157512
广西省,0.9454022988505748,0.9705014749262536,0.9577874818049492,339.0,0.9705014749262536,0.9917778480411372,0.998137451743514
未知,1.0,1.0,1.0,310.0,1.0,1.0,1.0
浙江省,0.9894736842105264,0.962457337883959,0.9757785467128028,293.0,0.962457337883959,0.9974366024211048,0.9994392506890937
贵州省,0.9738562091503268,0.9675324675324676,0.970684039087948,308.0,0.9675324675324676,0.9964056038938311,0.999157622038978
陕西省,0.9498327759197324,0.9594594594594594,0.9546218487394958,296.0,0.9594594594594594,0.9922498234751584,0.9983206443830636
macro avg,0.9724592407202728,0.9715908890661225,0.9719588787128998,1842.0,0.9715908890661225,0.9955314464384576,0.9990155773353603
weighted avg,0.9720183299820584,0.971769815418024,0.9718266575139196,1842.0,0.971769815418024,0.9954803766449144,0.9990027955944468
